Date,GLD,IJR,MTUM,QUAL,SPY,TLT,USMV,VTV,VUG,SSO,HYG,LQD,SHV,QLD
2014-10-22,119.33999633789062,43.977569580078125,55.26152038574219,49.1182975769043,158.69857788085938,88.21428680419922,30.5839786529541,59.21480941772461,88.20791625976562,6.615230560302734,50.267269134521484,80.42302703857422,88.70523834228516,3.656031847000122
2014-10-23,118.5199966430664,44.63991928100586,56.12592315673828,49.811405181884766,160.54342651367188,87.43211364746094,30.794118881225582,59.73818206787109,89.5517807006836,6.764828681945801,50.245513916015625,80.26873016357422,88.70523834228516,3.7681527137756348
2014-10-24,118.3499984741211,44.73695755004883,56.71967315673828,50.16640853881836,161.77880859375,87.51981353759766,31.04466819763184,60.26900863647461,90.06586456298828,6.863184452056885,50.38669967651367,80.30224609375,88.70523834228516,3.8255953788757324
2014-10-27,118.05999755859376,44.70322036743164,56.57124328613281,50.26784896850586,161.55650329589844,87.6806869506836,31.093175888061523,60.16434097290039,89.97566986083984,6.802521705627441,50.180362701416016,80.40286254882812,88.70523834228516,3.835731267929077
2014-10-28,118.0999984741211,46.04059982299805,57.24355316162109,50.76654815673828,163.40956115722656,87.13240051269531,31.29524040222168,60.81479644775391,91.14817810058594,7.004537105560303,50.261775970458984,80.13461303710938,88.70523834228516,3.949080228805542
2014-10-29,116.41000366210938,45.98152160644531,56.89429473876953,50.67357635498047,163.1624755859375,87.32976531982422,31.222496032714844,60.79984664916992,90.85955047607422,6.987456798553467,50.223812103271484,79.98709106445312,88.69720458984375,3.918668746948242
2014-10-30,115.19000244140624,46.35279083251953,57.33085250854492,51.24835968017578,164.2084503173828,87.40288543701172,31.54579162597656,61.14377975463867,91.47286224365234,7.076388835906982,50.20206832885742,80.04072570800781,88.6890869140625,3.9377148151397705
2014-10-31,112.66000366210938,47.04467391967773,57.94207000732422,51.73014831542969,166.0862579345703,87.17626953125,31.747840881347656,61.80173873901367,92.5912628173828,7.23482084274292,50.245513916015625,80.02734375,88.69720458984375,4.044305324554443
2014-11-03,112.1500015258789,46.99827575683594,58.02938461303711,51.65407943725586,166.17686462402344,87.17622375488281,31.78826141357422,61.79425811767578,92.63633728027344,7.2424774169921875,50.35131072998047,79.86931610107422,88.6890869140625,4.067650318145752
2014-11-04,112.22000122070312,46.82530975341797,57.93334579467773,51.51884460449219,165.60032653808594,87.44738006591797,31.844844818115234,61.697052001953125,92.22147369384766,7.195950031280518,50.193172454833984,79.98362731933594,88.69720458984375,4.042461395263672
2014-11-05,109.79000091552734,46.94342041015625,58.22146987915039,51.63717651367188,166.64630126953125,87.32282257080078,32.0064811706543,62.18303298950195,92.4830322265625,7.286647796630859,50.182228088378906,79.83570098876953,88.69720458984375,4.040005683898926
2014-11-06,109.87999725341795,47.06999206542969,58.527076721191406,51.88229751586914,167.31341552734375,86.75858306884766,32.04689407348633,62.407325744628906,92.98811340332033,7.345545291900635,50.31312942504883,79.59362030029297,88.6890869140625,4.067036151885986
2014-11-07,112.97000122070312,47.07841873168945,58.282623291015625,51.82315444946289,167.46986389160156,87.75518035888672,32.06305694580078,62.48955154418945,92.96105194091795,7.356734275817871,50.36220932006836,80.0979232788086,88.6890869140625,4.057821750640869
2014-11-10,110.45999908447266,47.23875045776367,58.49215698242188,52.10206985473633,167.9969940185547,86.94908142089844,32.208553314208984,62.70641326904297,93.24066162109376,7.400908470153809,50.384037017822266,79.69447326660156,88.69720458984375,4.088846206665039
2014-11-11,112.04000091552734,47.24296951293945,58.51833724975586,52.161231994628906,168.1616668701172,87.0076904296875,32.19239044189453,62.70641326904297,93.3759307861328,7.415043354034424,50.49855041503906,79.68771362304688,88.69720458984375,4.112192153930664
2014-11-12,111.5,47.563602447509766,58.54454040527344,52.228851318359375,167.98056030273438,86.93446350097656,32.184303283691406,62.60917663574219,93.48418426513672,7.40208625793457,50.33495330810547,79.68101501464844,88.69720458984375,4.12755012512207
2014-11-13,111.66999816894533,47.20078659057617,58.431034088134766,52.279579162597656,168.169921875,87.13960266113281,32.23279571533203,62.63161087036133,93.55631256103516,7.413277149200439,50.12773132324219,79.59362030029297,88.69720458984375,4.161954879760742
2014-11-14,114.47000122070312,47.1206169128418,58.36119079589844,52.21194076538086,168.2111358642578,87.56464385986328,32.176204681396484,62.64659881591797,93.64653778076172,7.419754981994629,49.876827239990234,79.69447326660156,88.69720458984375,4.186834812164307
2014-11-17,114.0500030517578,46.67340469360352,58.46597290039063,52.10206985473633,168.31814575195312,87.34481811523438,32.265132904052734,62.80360794067383,93.44808197021484,7.429178237915039,49.87136459350586,79.50615692138672,88.69720458984375,4.16103458404541
2014-11-18,115.0500030517578,46.89702224731445,59.17320251464844,52.347206115722656,169.29000854492188,87.58665466308594,32.41868209838867,63.080223083496094,94.1515884399414,7.513988494873047,49.773193359375,79.57340240478516,88.69720458984375,4.225848197937012
2014-11-19,113.68000030517578,46.42873764038086,58.92000198364258,52.228851318359375,169.0181884765625,87.02967834472656,32.40252685546875,62.9830322265625,93.91707611083984,7.487485885620117,49.76226806640625,79.14974212646484,88.69720458984375,4.186834812164307
2014-11-20,114.86000061035156,46.96874237060547,58.87635040283203,52.38101196289063,169.3147735595703,87.48402404785156,32.41061019897461,63.13255310058594,94.11550903320312,7.516345500946045,49.76773452758789,79.452392578125,88.69720458984375,4.224617958068848
