,return,allocation,cum_ret
2018-03-20,0.0017004101616311376,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.01939269673308286
2018-03-21,-0.001919106053710928,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.01743637403767373
2018-03-22,-0.024997243251585144,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.007996730497156768
2018-03-23,-0.021314635668688076,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.02914091876875724
2018-03-26,0.027359055230335775,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.002579131544478641
2018-03-27,-0.017011404266072838,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.01954666116119297
2018-03-28,-0.0029552192938894187,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.022444115784887697
2018-03-29,0.012777850140353932,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.009953053192565786
2018-04-02,-0.021584706571022627,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.03132292603094111
2018-04-03,0.012817108864612736,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.01890728651922513
