,SPY,VTV,MTUM,QUAL,USMV,VUG,IJR,TLT,GLD,LEVERAGE
2023-11-30,0.10086758300833261,1.5856456772600502e-17,0.14856947914506222,0.10627471928150152,0.0261938365514675,0.24171028794368019,0.0,0.30501937265509776,0.0,0.07136472141485835
2024-02-29,0.1043550089425089,9.486769009248164e-18,0.3566806540538549,0.09108724167864096,0.04132753684344068,0.29923665676349803,0.0,0.0,0.012675182195255296,0.09463771952280133
2024-05-31,0.1517137590191619,0.008503859412771443,0.20774219365798283,0.14480817751945277,0.12797065512164946,0.2440434416009535,0.04133012959326751,0.0,1.431146867680866e-17,0.07388778407476057
2024-08-31,0.07853751809234237,0.0621301875579173,0.13906529510065302,0.0892155287954149,0.17704523889018034,0.09601695478888517,0.0,0.14919786476326807,0.14510462278826222,0.06368678922307666
2024-11-30,0.1277210009593329,0.0821664910964117,0.13791498789828432,0.1165298059344992,0.042145765437450716,0.1607947292804925,0.26415818555280424,0.004027742741115281,0.0,0.06454129109960918
2025-02-28,6.80336863234654e-18,0.09413028742833128,0.03619077999038811,0.032052359315955674,0.2608452096983226,4.743384504624082e-18,9.432558900623889e-18,0.5020688409631415,0.0,0.07471252260386092
2025-05-31,0.054195486990209284,0.0,0.3849640933702402,0.025534993351947106,0.0,0.4383002074521201,1.973247953923618e-17,0.0,0.0,0.09700521883548333
2025-08-31,0.08146945866979606,0.28077889438664555,8.456776945386935e-18,0.04417892853746075,0.0,4.607859233063394e-19,0.4189465708411507,3.3393426912553537e-17,0.13998635441349672,0.03463979315145028
2025-11-30,0.015228761268574368,0.26263801347481197,0.0,0.0,0.10924096164567226,0.0,0.1996805098353827,0.0,0.38600307444658943,0.027208679328969317
2026-02-28,0.0,0.32006817520152275,2.794172389567451e-17,4.630313259472673e-18,0.10124774715558953,1.869717866188048e-17,0.18759681113877988,1.3516661647854238e-17,0.3910872665041079,0.0
